LOCATION,houseprice,year,quarter,interest,gdp
AUS,25.888599868295,1970,1,5.986667,24.9
AUS,26.2586514675378,1970,2,6.883333,25.3
AUS,26.7801401630026,1970,3,6.876667,25.3
AUS,26.8296768995855,1970,4,6.84,25.4
AUS,27.0258534271617,1971,1,6.846667,25.7
AUS,27.3156419791352,1971,2,6.833333,25.8
AUS,27.8027560982825,1971,3,6.803333,26.6
AUS,28.0905596553314,1971,4,6.37,26.6
AUS,28.3003225698231,1972,1,5.94,26.2
AUS,28.6057910534464,1972,2,5.85,26.8
AUS,28.9689242021653,1972,3,5.766667,26.7
AUS,29.9347250981649,1972,4,5.77,27
AUS,30.373791548928,1973,1,5.75,27.7
AUS,31.3293076171216,1973,2,6.346667,27.7
AUS,32.8779844750156,1973,3,7.283333,28
AUS,33.7618523524495,1973,4,8.353333,28.7
AUS,35.1493069912774,1974,1,8.363334,28.7
AUS,34.8240797501821,1974,2,8.783334,28.1
AUS,33.6154837907951,1974,3,9.5,28.5
AUS,32.6682058303877,1974,4,9.5,28.5
AUS,32.3765062160265,1975,1,9.466666,28.6
AUS,32.4520468236113,1975,2,9.5,29.5
AUS,32.4680795268915,1975,3,10,29.2
AUS,31.6718268329668,1975,4,10,28.7
AUS,31.8132924011663,1976,1,10.00333,30
AUS,31.6667355909992,1976,2,9.996667,30.1
AUS,31.2870602357754,1976,3,9.993333,30.3
AUS,31.3137418336971,1976,4,10.13,30.6
AUS,31.2048211705039,1977,1,10.4,30.4
AUS,31.0016992364141,1977,2,10.40667,30.9
AUS,30.770853800232,1977,3,10.33333,30.7
AUS,30.6881557034397,1977,4,9.766666,30.6
AUS,30.9245825887425,1978,1,9.253333,30.9
AUS,29.8897777704909,1978,2,9.123333,31.1
AUS,29.7896781362891,1978,3,9.033334,31.6
AUS,29.3108790850131,1978,4,8.83,31.9
AUS,30.088846919768802,1979,1,9.066667,32.7
AUS,31.0183178056083,1979,2,9.783334,32.2
AUS,31.32294951322,1979,3,10.07,32.5
AUS,31.37228533737,1979,4,10.07667,33.1
AUS,30.7925140673469,1980,1,10.73333,33.3
AUS,31.3168605583296,1980,2,11.75667,33.4
AUS,32.0970373859502,1980,3,11.79333,33.5
AUS,32.6358871799783,1980,4,12.30667,34.1
AUS,33.5969162307289,1981,1,13.1,34.2
AUS,33.5889783262716,1981,2,13.1,34.8
AUS,32.8421732028767,1981,3,14.63333,35.5
AUS,33.6595568687531,1981,4,15,35.3
AUS,32.2348679884389,1982,1,15.08333,35
AUS,32.0551751042778,1982,2,16,35.4
AUS,31.0267901514262,1982,3,16.03333,35.1
AUS,30.2095951380568,1982,4,14.38333,34.6
AUS,30.0399007588801,1983,1,13.66667,34.2
AUS,30.2696343631927,1983,2,13.96667,34.2
AUS,30.1944897226144,1983,3,14.55,35.1
AUS,30.8958683517666,1983,4,13.36667,35.7
AUS,31.1291139169037,1984,1,13.86667,36.6
AUS,31.3336065996647,1984,2,13.93333,37
AUS,32.6660752413026,1984,3,13.01667,37.3
AUS,32.1357641152699,1984,4,13.28333,37.6
AUS,33.0381747429721,1985,1,13.53333,38.1
AUS,32.5011759165244,1985,2,13.75,39
AUS,33.0679416923503,1985,3,13.71667,39.5
AUS,32.9115245838404,1985,4,14.81667,39.4
AUS,32.6833412968484,1986,1,13.46667,39.7
AUS,33.1405837078813,1986,2,12.61667,39.6
AUS,32.4367198767192,1986,3,14.05,39.7
AUS,31.8364224384022,1986,4,13.53333,40.4
AUS,31.6670874771782,1987,1,13.75,40.7
AUS,31.7053449753614,1987,2,12.95,41.4
AUS,31.7540436061053,1987,3,12.8,42.1
AUS,32.5238103534991,1987,4,13.26667,43
AUS,33.2984182025811,1988,1,12.2,43.2
AUS,34.7017933587308,1988,2,11.91667,43.2
AUS,37.626963762288,1988,3,11.9,43.5
AUS,40.4955089293591,1988,4,12.4,44.2
AUS,43.1974989208452,1989,1,13.53333,44.7
AUS,43.3020919742262,1989,2,13.6,45.6
AUS,42.7592620607836,1989,3,13.31667,46
AUS,41.9932606499198,1989,4,13.18333,45.9
AUS,41.5446755528123,1990,1,13.18,46.3
AUS,41.3372050135093,1990,2,13.56333,46.3
